Model,Partition,WeightDecay,AUC_Train,AUC_Valid,AUC_Tests
11,1,0.01,1.0,0.710207024410341,0.6950604871830255
11,1,0.05,1.0,0.7337418889689978,0.6989505917295853
11,1,0.1,1.0,0.7247296322999279,0.7122965416182047
11,1,0.5,1.0,0.719260479967041,0.711212306398302
12,1,0.001,1.0,0.6941291585127202,0.6814911191278806
12,1,0.005,1.0,0.6839942321557317,0.6684802964890493
12,1,0.01,1.0,0.67879287259244,0.6747360051517601
12,1,0.05,1.0,0.7085590689051395,0.679920620839658
12,1,0.1,1.0,0.6962509012256668,0.6626385685466649
12,1,0.5,1.0,0.7082912761355443,0.7019930214678574
13,1,0.001,1.0,0.6826861674734782,0.6952313363691919
13,1,0.005,1.0,0.7025440313111546,0.7003042429738273
13,1,0.01,1.0,0.7065300236893604,0.6859397690907538
13,1,0.05,1.0,0.6859408795962508,0.6928263055177716
13,1,0.1,1.0,0.7179421155628798,0.7140116046024142
13,1,0.5,1.0,0.7074878978267587,0.7028275540310551
14,1,0.001,1.0,0.7157688742403956,0.7085312883999975
14,1,0.005,1.0,0.719826964671954,0.698523468764169
14,1,0.01,1.0,0.7032444124008652,0.7121125501869484
14,1,0.05,1.0,0.705427953445257,0.7060539752005837
14,1,0.1,1.0,0.6934081779791946,0.697209244255196
14,1,0.5,1.0,0.713832526521784,0.7125922421327235
15,1,0.001,1.0,0.6662478113090946,0.6809785715693812
15,1,0.005,1.0,0.6470697291173139,0.6674617724945953
15,1,0.01,1.0,0.7061283345349675,0.6687628547584783
15,1,0.05,1.0,0.6941497579565352,0.6770096135522831
15,1,0.1,1.0,0.7003810897105778,0.6834887403815193
15,1,0.5,1.0,0.6892470903285611,0.6984051885583614
16,1,0.001,1.0,0.7159439695128231,0.6692425467042535
16,1,0.005,1.0,0.7076011947677413,0.694114245536565
16,1,0.01,1.0,0.6791121639715729,0.7024464289234529
16,1,0.05,1.0,0.724770831187558,0.695612461476794
16,1,0.1,1.0,0.7099804305283757,0.6867874438990412
16,1,0.5,1.0,0.7038623957153156,0.7103712027125594
17,1,0.001,1.0,0.6937583685240499,0.6930168680715727
17,1,0.005,1.0,0.6756411576887424,0.681957668828566
17,1,0.01,1.0,0.6984035431043363,0.7028078406634205
17,1,0.05,0.9999999999999999,0.7009166752497683,0.694265381355097
17,1,0.1,1.0,0.7034813060047378,0.6839158633469354
17,1,0.5,1.0,0.6979915542280358,0.6906512639554216
18,1,0.001,1.0,0.6952518282006386,0.7056005677449879
